Function,./bin/1-2/sll-reverse.exe.__do_global_ctors_aux,./bin/1-2/sll-reverse.exe.__do_global_dtors_aux,./bin/1-2/sll-reverse.exe.__libc_csu_fini,./bin/1-2/sll-reverse.exe.__libc_csu_init,./bin/1-2/sll-reverse.exe._fini,./bin/1-2/sll-reverse.exe.add_node,./bin/1-2/sll-reverse.exe.call_gmon_start,./bin/1-2/sll-reverse.exe.delete_node,./bin/1-2/sll-reverse.exe.frame_dummy,./bin/1-2/sll-reverse.exe.list_nodes,./bin/1-2/sll-reverse.exe.list_nodes_in_reverse_order,./bin/1-2/sll-reverse.exe.main,./bin/1-2/sll-reverse.exe.reverse_with_recursion,./bin/1-2/sll-reverse.exe.reverse_with_recursion_anotherway,./bin/1-2/sll-reverse.exe.reverse_without_recursion
./src/1-2/list-O3.Retrieve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-Os.Advance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-Os.Delete,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-Os.DeleteList,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.848479110742
./src/1-2/list-Os.Find,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.903275081408,0.8937704268,1.0,1.0
./src/1-2/list-Os.FindPrevious,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-Os.First,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-Os.Header,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-Os.Insert,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-Os.IsEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-Os.IsLast,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-Os.MakeEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list-Os.Retrieve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list.Advance,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-2/list.Delete,1.0,1.0,1.0,0.796972209674,1.0,1.0,1.0,0.70973065603,1.0,1.0,1.0,0.849328950604,1.0,1.0,1.0
./src/1-2/list.DeleteList,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.932132415173,1.0,0.883054269617,1.0,0.929180284533,0.916666666667,1.0,1.0
