Function,./bin/1-1/testavl.exe.Delete,./bin/1-1/testavl.exe.DoubleRotateWithLeft,./bin/1-1/testavl.exe.DoubleRotateWithRight,./bin/1-1/testavl.exe.Find,./bin/1-1/testavl.exe.FindMax,./bin/1-1/testavl.exe.FindMin,./bin/1-1/testavl.exe.Height,./bin/1-1/testavl.exe.Insert,./bin/1-1/testavl.exe.MakeEmpty,./bin/1-1/testavl.exe.Max,./bin/1-1/testavl.exe.Retrieve,./bin/1-1/testavl.exe.SingleRotateWithLeft,./bin/1-1/testavl.exe.SingleRotateWithRight,./bin/1-1/testavl.exe.__do_global_ctors_aux,./bin/1-1/testavl.exe.__do_global_dtors_aux,./bin/1-1/testavl.exe.__libc_csu_fini,./bin/1-1/testavl.exe.__libc_csu_init,./bin/1-1/testavl.exe._fini,./bin/1-1/testavl.exe.call_gmon_start,./bin/1-1/testavl.exe.frame_dummy,./bin/1-1/testavl.exe.main,./bin/1-1/teststkl.exe.CreateStack,./bin/1-1/teststkl.exe.DisposeStack,./bin/1-1/teststkl.exe.IsEmpty,./bin/1-1/teststkl.exe.MakeEmpty,./bin/1-1/teststkl.exe.Pop,./bin/1-1/teststkl.exe.Push,./bin/1-1/teststkl.exe.Top,./bin/1-1/teststkl.exe.__do_global_ctors_aux,./bin/1-1/teststkl.exe.__do_global_dtors_aux,./bin/1-1/teststkl.exe.__libc_csu_fini,./bin/1-1/teststkl.exe.__libc_csu_init,./bin/1-1/teststkl.exe._fini,./bin/1-1/teststkl.exe.call_gmon_start,./bin/1-1/teststkl.exe.frame_dummy,./bin/1-1/teststkl.exe.main,./bin/1-1/testtree.exe.Delete,./bin/1-1/testtree.exe.Find,./bin/1-1/testtree.exe.FindMax,./bin/1-1/testtree.exe.FindMin,./bin/1-1/testtree.exe.Insert,./bin/1-1/testtree.exe.MakeEmpty,./bin/1-1/testtree.exe.Retrieve,./bin/1-1/testtree.exe.__do_global_ctors_aux,./bin/1-1/testtree.exe.__do_global_dtors_aux,./bin/1-1/testtree.exe.__libc_csu_fini,./bin/1-1/testtree.exe.__libc_csu_init,./bin/1-1/testtree.exe._fini,./bin/1-1/testtree.exe.call_gmon_start,./bin/1-1/testtree.exe.frame_dummy,./bin/1-1/testtree.exe.main
./src/1-1/avltree.Retrieve,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.736476861653,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.116116523517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree.SingleRotateWithLeft,1.0,0.868238430826,0.868238430826,1.0,1.0,0.876412256109,1.0,0.290856747067,0.871781790306,1.0,1.0,0.281967316722,0.281967316722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.881519953287,1.0,1.0,0.876412256109,1.0,0.871781790306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/avltree.SingleRotateWithRight,1.0,0.868238430826,0.868238430826,1.0,1.0,0.876412256109,1.0,0.290856747067,0.871781790306,1.0,1.0,0.281967316722,0.281967316722,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.881519953287,1.0,1.0,0.876412256109,1.0,0.871781790306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/stackli-O1.CreateStack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/stackli-O1.DisposeStack,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.857450143934,1.0,1.0,1.0,0.85258865781,0.85258865781,0.639444872454,0.278889744907,1.0,1.0,0.289366479822,0.639444872454,1.0,0.826206784849,1.0,0.886807685773,1.0,1.0,0.924239555371,1.0,0.920943058496,0.639444872454,0.278889744907,1.0,1.0,0.289366479822,0.639444872454,1.0,0.917962790112,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.639444872454,0.278889744907,1.0,1.0,0.289366479822,0.639444872454,1.0,0.826206784849
./src/1-1/stackli-O1.IsEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.815910649714,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/stackli-O1.MakeEmpty,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642287014659,1.0,1.0,0.904441539423,1.0,1.0,1.0,0.925773318208,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642287014659,1.0,1.0,0.904441539423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.642287014659,1.0,1.0,0.904441539423,1.0,1.0,1.0,0.925773318208
./src/1-1/stackli-O1.Pop,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/stackli-O1.Push,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
./src/1-1/stackli-O1.Top,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.896216186803,1.0,1.0,0.939186968074,1.0,0.935126431564,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
